areaType,availability,location,size,society,totalSqft,bath,balcony,price,region
Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,,1200,2.0,0.0,95.0,Bangalore North
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1025,2.0,2.0,36.0,Bangalore South
Super built-up  Area,17-Jun,Electronic City,2 BHK,Prarkun,1108,2.0,1.0,63.0,Bangalore South
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,JJortom,1500,3.0,2.0,75.5,Bangalore South
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2.0,2.0,43.9,Bangalore South
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1162,2.0,1.0,59.9,Bangalore North
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1035,2.0,2.0,49.2,Bangalore South
Built-up  Area,Ready To Move,Attibele,4 Bedroom,Natic T,1600,4.0,0.0,52.8,Bangalore South
Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,1866,2.0,2.0,61.58,Bangalore North
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Prillot,1804,3.0,2.0,120.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,,913,2.0,1.0,32.0,Bangalore South
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,,883,2.0,1.0,45.0,Bangalore South
Super built-up  Area,Ready To Move,Kogilu,3 BHK,,1664,2.0,3.0,73.95,Bangalore North
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,2026,3.0,2.0,132.0,Bangalore North
Plot  Area,Ready To Move,Meenakunte,4 Bedroom,Sreat R,4111,4.0,2.0,250.0,Bangalore South
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,Alestrb,1762,3.0,3.0,91.45,Bangalore East
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1420,2.0,1.0,100.0,Bangalore South
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1490,3.0,1.0,78.8,Bangalore South
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,,1075,2.0,1.0,46.0,Bangalore South
Super built-up  Area,18-Aug,Old Madras Road,3 BHK,Saesttt,1425,2.0,2.0,94.0,Bangalore North
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Nae 2El,1200,2.0,1.0,40.0,Bangalore South
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,,1280,2.0,2.0,56.0,Bangalore East
Super built-up  Area,18-Jul,Chandapura,2 BHK,SunceEs,1015,2.0,2.0,25.88,Bangalore South
Super built-up  Area,21-May,Kanakpura Road,2 BHK,GolusLi,1017,2.0,1.0,51.25,Bangalore South
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1027,2.0,2.0,44.0,Bangalore South
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coush W,1069,2.0,2.0,45.0,Bangalore South
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1349,2.0,1.0,98.2,Bangalore North
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,,880,3.0,1.0,140.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Ahriaup,1863,3.0,2.0,104.0,Bangalore South
Super built-up  Area,Ready To Move,Singasandra,2 BHK,Priewhi,1010,2.0,1.0,29.5,Bangalore South
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Shodsth,1425,2.0,1.0,70.0,Bangalore South
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,Swadeh ,1450,3.0,0.0,100.0,Bangalore South
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1847,3.0,2.0,105.0,Bangalore North
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,26.0,Bangalore South
Super built-up  Area,Ready To Move,Panathur,2 BHK,Vaesh T,1438,2.0,3.0,100.0,Bangalore East
Super built-up  Area,18-Apr,Yelahanka,2 BHK,,1350,2.0,1.0,55.55,Bangalore North
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3.0,3.0,67.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Gotis A,1280,2.0,2.0,75.0,Bangalore East
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1385,2.0,1.0,83.09,Bangalore North
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,65.0,Bangalore South
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,,1200,2.0,2.0,128.0,Bangalore East
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3.0,2.0,415.0,Bangalore South
Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,,2400,4.0,1.0,400.0,Bangalore South
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3.0,2.0,56.0,Bangalore South
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1200,2.0,2.0,55.0,Bangalore North
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Abncy R,1200,2.0,2.0,52.0,Bangalore North
Super built-up  Area,20-Mar,Sarjapur  Road,2 BHK,,1000,2.0,1.0,67.0,Bangalore South
Plot  Area,Ready To Move,Haralur Road,4 Bedroom,,2650,4.0,2.0,198.0,Bangalore South
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,K borja,2135,3.0,2.0,215.0,Bangalore East
Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1173,2.0,1.0,58.0,Bangalore East
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungspr,1020,2.0,2.0,45.0,Bangalore South
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,,1600,3.0,3.0,64.0,Bangalore South
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Clntsrt,1250,2.0,2.0,40.0,Bangalore South
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PuamaPa,1325,2.0,2.0,76.0,Bangalore South
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3.0,1.0,150.0,Bangalore South
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,,,21.53,Bangalore South
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,,1200,2.0,2.0,65.0,Bangalore South
Super built-up  Area,Ready To Move,Harlur,2 BHK,SrEndPo,1508,2.0,1.0,77.0,Bangalore South
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SagasSa,1388,2.0,3.0,57.0,Bangalore South
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,SNbay G,630,1.0,1.0,28.35,Bangalore South
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3 BHK,,1762,3.0,1.0,125.0,Bangalore South
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,3252,5.0,3.0,335.0,Bangalore East
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,1116,2.0,1.0,50.0,Bangalore South
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308,2.0,2.0,89.04,Bangalore North
Super built-up  Area,Ready To Move,MS Pallya,3 BHK,,1200,3.0,0.0,90.0,Bangalore North
Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,,500,1.0,1.0,18.5,Bangalore South
Super built-up  Area,18-Mar,Chandapura,1 BHK,Siissi ,530,1.0,0.0,11.66,Bangalore South
Built-up  Area,Ready To Move,Bellandur,2 BHK,,1205,2.0,3.0,66.0,Bangalore South
Built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,930,2.0,2.0,39.0,Bangalore East
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483,5.0,2.0,212.0,Bangalore North
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,NadelCi,1050,2.0,1.0,65.0,Bangalore South
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,46.8,Bangalore South
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,Puarent,1600,2.0,1.0,108.0,Bangalore South
Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,Maian M,451,1.0,0.0,29.9,Bangalore South
Super built-up  Area,Ready To Move,Electronic City,3 BHK,ShstaAl,1800,3.0,2.0,95.0,Bangalore South
Super built-up  Area,18-May,Jalahalli,3 BHK,Shard T,1400,3.0,0.0,77.0,Bangalore North
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1801,3.0,2.0,115.0,Bangalore North
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2.0,2.0,44.0,Bangalore South
Built-up  Area,Ready To Move,Kengeri,2 BHK,,1000,2.0,1.0,25.0,Bangalore South
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,40.0,Bangalore South
Built-up  Area,Ready To Move,Vijayanagar,3 BHK,,1580,2.0,0.0,134.0,Bangalore South
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1826,3.0,2.0,121.0,Bangalore South
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Eladero,1245,2.0,1.0,94.0,Bangalore South
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Lancyey,1145,2.0,2.0,45.79,Bangalore South
Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,Aroomba,1693,3.0,3.0,108.0,Bangalore North
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Courf T,1113.27,2.0,2.0,53.0,Bangalore South
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,S onsMa,1050,2.0,1.0,32.0,Bangalore South
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Tuentpa,1260,2.0,2.0,55.0,Bangalore East
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Vailsaf,1208,3.0,1.0,45.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,3 BHK,BrlisCo,1910,3.0,2.0,161.0,Bangalore East
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Haestt ,3252,4.0,1.0,230.0,Bangalore East
Super built-up  Area,Ready To Move,Gokula Extension,4 BHK,,1200,4.0,1.0,175.0,Bangalore West
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1175,2.0,1.0,82.0,Bangalore South
Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,,1200,2.0,0.0,125.0,Bangalore South
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3.0,2.0,410.0,Bangalore South
Super built-up  Area,19-Jan,Rajaji Nagar,7 BHK,,12000,6.0,3.0,2200.0,Bangalore South
Super built-up  Area,Ready To Move,Kengeri,1 BHK,,34.46Sq. Meter,1.0,0.0,18.5,Bangalore South
Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750,2.0,1.0,38.0,Bangalore South
Plot  Area,Ready To Move,Mahalakshmi Layout,6 Bedroom,,1200,7.0,3.0,250.0,Bangalore South
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3.0,3.0,64.5,Bangalore South
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,,1350,3.0,2.0,150.0,Bangalore South
Plot  Area,17-Dec,Anandapura,2 Bedroom,,1000,2.0,1.0,55.0,Bangalore South
Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,,1090,2.0,2.0,31.48,Bangalore South
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991,4.0,2.0,103.0,Bangalore North
Plot  Area,Ready To Move,Chandapura,6 Bedroom,,1533,5.0,3.0,85.0,Bangalore South
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1120,2.0,2.0,55.0,Bangalore East
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prionad,1933,3.0,2.0,140.0,Bangalore East
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419,2.0,2.0,48.1,Bangalore South
Plot  Area,Ready To Move,7th Phase JP Nagar,8 Bedroom,,1200,8.0,,250.0,Bangalore South
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,708,1.0,1.0,40.0,Bangalore South
Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,,1000,4.0,3.0,110.0,Bangalore South
Plot  Area,Ready To Move,Whitefield,4 Bedroom,,11890,4.0,3.0,700.0,Bangalore East
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Ocavees,1250,2.0,1.0,76.0,Bangalore South
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1400,2.0,1.0,95.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1670,2.0,3.0,57.0,Bangalore South
Built-up  Area,18-Apr,Electronic City,1 BHK,Prarkun,630,1.0,1.0,34.65,Bangalore South
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,3.0,2.0,135.0,Bangalore South
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,,1650,3.0,2.0,78.0,Bangalore South
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2.0,1.0,55.47,Bangalore South
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,Bancyri,1800,3.0,2.0,252.0,Bangalore South
Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,PualeSk,1346,2.0,1.0,74.03,Bangalore South
Super built-up  Area,Ready To Move,Hormavu,2 BHK,ElavuHo,1150,2.0,2.0,55.0,Bangalore South
Super built-up  Area,18-May,Chandapura,3 BHK,SunceEs,1190,2.0,2.0,30.35,Bangalore South
Super built-up  Area,18-Apr,Marathahalli,2 BHK,,950,2.0,1.0,46.96,Bangalore East
Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,Bancyri,5000,9.0,3.0,360.0,Bangalore South
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,2450,3.0,0.0,120.0,Bangalore South
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,Sryalan,1220,2.0,1.0,35.23,Bangalore South
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,,1020,2.0,2.0,63.0,Bangalore South
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1100,2.0,2.0,50.0,Bangalore South
Super built-up  Area,18-Dec,Hebbal,3 BHK,Mahosya,1760,2.0,2.0,130.0,Bangalore North
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,1070,2.0,1.0,54.0,Bangalore South
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,1500,4.0,2.0,220.0,Bangalore South
Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,,1440,2.0,0.0,95.0,Bangalore North
Super built-up  Area,18-May,Whitefield,2 BHK,SMuilan,1130,2.0,1.0,42.16,Bangalore East
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320,2.0,1.0,165.0,Bangalore South
Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,4 BHK,,4800,4.0,,235.0,Bangalore South
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2.0,0.0,50.17,Bangalore South
Super built-up  Area,Ready To Move,7th Phase JP Nagar,4 BHK,,3600,4.0,3.0,400.0,Bangalore South
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1208,2.0,1.0,49.0,Bangalore South
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,Vrensn ,1130,2.0,2.0,60.0,Bangalore North
Super built-up  Area,Ready To Move,Old Madras Road,5 BHK,Brica E,4500,7.0,3.0,337.0,Bangalore North
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,63.0,Bangalore South
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Apows M,1035,2.0,1.0,45.0,Bangalore North
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,36.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SVineun,1040,2.0,1.0,48.5,Bangalore East
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1511,3.0,1.0,95.0,Bangalore North
Built-up  Area,Ready To Move,Shampura,1 BHK,,375,2.0,0.0,26.0,Bangalore North
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,,1062,2.0,3.0,38.0,Bangalore North
Super built-up  Area,19-Apr,Sarjapur  Road,2 BHK,Brareio,1195,2.0,1.0,70.0,Bangalore South
Plot  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,,660,4.0,2.0,90.0,Bangalore South
Plot  Area,Ready To Move,Banashankari Stage III,4 Bedroom,,8500,4.0,2.0,145.0,Bangalore South
Super built-up  Area,18-Dec,Haralur Road,4 BHK,SNnia E,2805,5.0,3.0,154.0,Bangalore South
Super built-up  Area,Ready To Move,Begur Road,3 BHK,,1584,3.0,,65.0,Bangalore South
Plot  Area,Ready To Move,Sector 7 HSR Layout,4 Bedroom,,3000,5.0,1.0,275.0,Bangalore South
Built-up  Area,19-Jul,"Yemlur, Old Airport Road, ",3 BHK,,1595,3.0,2.0,115.0,Bangalore East
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1599,3.0,2.0,125.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SuMTBPr,1150,2.0,1.0,70.0,Bangalore East
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Jahidva,1155,2.0,2.0,42.74,Bangalore East
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,,1000,2.0,1.0,25.0,Bangalore South
Super built-up  Area,Ready To Move,Thanisandra,4 BHK,,3000,4.0,,120.0,Bangalore North
Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,ViistLa,1251,2.0,1.0,47.0,Bangalore South
Super built-up  Area,Ready To Move,Arekere,2 BHK,Amngsag,1222,2.0,2.0,45.0,Bangalore South
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1170,2.0,1.0,66.0,Bangalore South
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Kacesh ,2400,4.0,1.0,245.0,Bangalore North
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SrisePo,1372,2.0,1.0,68.0,Bangalore South
Super built-up  Area,Ready To Move,Magadi Road,3 BHK,Bilya A,1282,2.0,2.0,49.0,Bangalore South
Built-up  Area,Ready To Move,7th Block Jayanagar,5 Bedroom,,3000,3.0,1.0,528.0,Bangalore South
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Shdhia ,1135,2.0,1.0,39.73,Bangalore South
Built-up  Area,20-Dec,Whitefield,3 BHK,,1768,3.0,2.0,101.0,Bangalore East
Built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Foconna,1325,2.0,1.0,90.0,Bangalore North
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1599,3.0,2.0,99.0,Bangalore South
Plot  Area,18-Mar,Whitefield,3 Bedroom,,1500,3.0,1.0,61.95,Bangalore East
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1286,2.0,2.0,63.0,Bangalore South
Built-up  Area,Ready To Move,Kammanahalli,5 BHK,,2845,5.0,1.0,140.0,Bangalore North
Super built-up  Area,18-Sep,Hennur Road,2 BHK,Shxorm ,1195 - 1440,2.0,0.0,63.77,Bangalore North
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Brium C,3450,5.0,2.0,260.0,Bangalore North
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Sahanra,1350,2.0,2.0,54.0,Bangalore North
Super built-up  Area,Ready To Move,Banashankari,3 BHK,,1200,2.0,2.0,42.0,Bangalore South
Plot  Area,Ready To Move,Hosa Road,6 Bedroom,,1300,6.0,0.0,145.0,Bangalore South
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,27.25,Bangalore South
Built-up  Area,Ready To Move,Attibele,2 BHK,Jae 2hu,656,2.0,1.0,25.0,Bangalore South
Plot  Area,Ready To Move,Marathahalli,4 Bedroom,,1780,4.0,3.0,175.0,Bangalore East
Super built-up  Area,21-Feb,Bannerghatta Road,1 BHK,Hiatei ,595,1.0,1.0,33.32,Bangalore South
Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,Puarero,2225,3.0,1.0,160.0,Bangalore South
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1490,3.0,1.0,84.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,PuineSu,1550,3.0,3.0,100.0,Bangalore South
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,PrOakSi,4144,4.0,3.0,315.0,Bangalore East
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Supleon,2100,3.0,2.0,125.0,Bangalore South
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,LGestbo,2230,4.0,3.0,225.0,Bangalore South
Super built-up  Area,18-May,Banashankari Stage III,3 BHK,Pridsi ,1305,2.0,1.0,58.7,Bangalore South
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aahts H,1230,2.0,2.0,80.0,Bangalore East
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1460,3.0,1.0,73.0,Bangalore South
Plot  Area,Immediate Possession,Sarjapur  Road,,Asiss B,1200 - 2400,,,34.185,Bangalore South
Built-up  Area,Ready To Move,Gottigere,2 BHK,,967,2.0,3.0,45.0,Bangalore South
Built-up  Area,Ready To Move,Byatarayanapura,1 Bedroom,,540,1.0,1.0,36.0,Bangalore North
Super built-up  Area,19-Dec,Hormavu,1 BHK,Kolisl ,715,1.0,2.0,46.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Toindls,2500,3.0,2.0,313.0,Bangalore East
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,,1020,2.0,1.0,48.95,Bangalore South
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Ansna K,1253,2.0,1.0,102.0,Bangalore South
Super built-up  Area,Ready To Move,Harlur,3 BHK,SomonCi,1709,3.0,2.0,150.0,Bangalore South
Carpet  Area,Ready To Move,Sanjay nagar,2 BHK,,1100,2.0,2.0,98.0,Bangalore North
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,,1430,2.0,1.0,65.0,Bangalore South
Built-up  Area,Ready To Move,RMV Extension,3 BHK,DSureSi,1630,3.0,2.0,85.0,Bangalore North
Super built-up  Area,19-May,Sarjapur  Road,3 BHK,Soini T,1249,3.0,2.0,44.71,Bangalore South
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,MancyRe,1450,2.0,3.0,85.0,Bangalore South
Super built-up  Area,17-Nov,Konanakunte,3 BHK,Prasa W,2791,3.0,1.0,223.0,Bangalore South
Super built-up  Area,Ready To Move,Arekere,3 BHK,,2060,3.0,2.0,140.0,Bangalore South
Super built-up  Area,19-Jan,Malleshwaram,7 BHK,,12000,7.0,3.0,2200.0,Bangalore South
Built-up  Area,Ready To Move,Gottigere,2 BHK,Drente ,891,2.0,1.0,25.0,Bangalore South
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1133,2.0,1.0,49.07,Bangalore South
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,37.0,Bangalore South
Super built-up  Area,18-May,Sector 6 HSR Layout,4 BHK,,3000,5.0,2.0,260.0,Bangalore South
Built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,,1200,2.0,2.0,55.0,Bangalore North
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,,1075,2.0,2.0,45.8,Bangalore North
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,,1140,2.0,2.0,40.0,Bangalore East
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,SGandea,1090,2.0,1.0,42.0,Bangalore South
Built-up  Area,Ready To Move,R.T. Nagar,4 Bedroom,,1500,4.0,1.0,70.0,Bangalore North
Super built-up  Area,Ready To Move,Whitefield,4 BHK,,4104,4.0,2.0,360.0,Bangalore East
Super built-up  Area,Ready To Move,Whitefield,3 BHK,,1790,3.0,,100.0,Bangalore East
Super built-up  Area,18-Dec,Hebbal,3 BHK,Mahosya,1920,3.0,2.0,134.0,Bangalore North
Carpet  Area,Ready To Move,Bannerghatta Road,3 BHK,,1445,3.0,2.0,95.0,Bangalore South
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,SosonGa,1500,3.0,3.0,95.0,Bangalore North
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Gotis A,1720,3.0,3.0,100.0,Bangalore East
Super built-up  Area,Ready To Move,Vasanthapura,3 BHK,,1400,3.0,2.0,60.0,Bangalore South
Built-up  Area,Ready To Move,Kundalahalli,2 BHK,,1030,2.0,2.0,49.0,Bangalore East
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1200,2.0,1.0,85.0,Bangalore South
Plot  Area,Ready To Move,Hegde Nagar,2 Bedroom,,1050,1.0,,56.0,Bangalore North
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,Tahtsla,2250,3.0,2.0,160.0,Bangalore North
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Sronda ,1000,2.0,2.0,50.0,Bangalore South
Super built-up  Area,Ready To Move,Jalahalli West,1 BHK,Prntsax,469,1.0,0.0,25.0,Bangalore North
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,3800,4.0,3.0,250.0,Bangalore East
Built-up  Area,Ready To Move,Singasandra,3 BHK,,1440,2.0,3.0,65.0,Bangalore South
Built-up  Area,Ready To Move,Malleshwaram,4 BHK,GaityEt,2500,5.0,2.0,325.0,Bangalore South
Plot  Area,Ready To Move,"6th block banashankari 3rd stage, 100 feet ORR",3 Bedroom,,4000,3.0,1.0,660.0,Bangalore South
Carpet  Area,Ready To Move,Chikkalasandra,2 BHK,,875,2.0,3.0,52.8,Bangalore South
Super built-up  Area,Ready To Move,Jalahalli East,1 BHK,ShshaSa,750,1.0,2.0,40.0,Bangalore North
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1194,2.0,2.0,47.0,Bangalore South
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,1500,2.0,2.0,62.0,Bangalore North
Built-up  Area,Ready To Move,Arekere,9 Bedroom,,4125Perch,9.0,,265.0,Bangalore South
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,Taonte ,2378,3.0,1.0,262.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Ahownve,1128,2.0,1.0,60.0,Bangalore South
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Cevely ,1500,3.0,1.0,150.0,Bangalore North
